id;name;description;last_status;created_by;created_date;last_modified_by;last_modified_date;source_connection_id;snowflake_connection_id
1;mobile Fish;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;2019-07-07T10:21:55;Albania web-readiness;2019-07-07T10:40:40;6;7
2;Steel zero administration;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;2019-07-07T11:52:57;Bahamian Dollar Investment Account;2019-07-06T21:40:14;1;2
3;incentivize Tuna copy;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;2019-07-07T08:20:20;interactive generating compelling;2019-07-07T10:55:29;7;6
4;Plastic;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;2019-07-07T08:46:03;Lempira;2019-07-07T01:41:07;8;6
5;tangible Mississippi;Poland;Small partnerships;Outdoors;2019-07-07T02:23:36;knowledge base Buckinghamshire;2019-07-06T19:53:09;2;3
6;relationships override;Brand;digital maroon;EXE projection Fresh;2019-07-07T09:06:58;Direct;2019-07-07T11:08:10;3;7
7;Jewelery cutting-edge;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;2019-07-06T18:20:41;Functionality;2019-07-07T11:37:28;7;5
8;capability zero tolerance Computers;deposit Canadian Dollar Lebanon;Designer Persistent;Handmade 24/7 Re-contextualized;2019-07-06T22:23:31;Point Orchestrator;2019-07-07T08:05:44;6;9
9;optical;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;2019-07-07T01:05:05;synthesize Creative;2019-07-07T14:22:00;7;4
10;Concrete Global SMS;Borders content-based;Tasty Customer Human;pink even-keeled;2019-07-07T00:51:31;programming SCSI drive;2019-07-06T20:21:39;7;9
